Factory Name,Factory Type,Product Type Type,"Nike, Inc. Brand(s)",Events,Supplier Group,Address,City,State,Postal Code,Country / Region,Region,Total Workers,Line Workers,% Female Workers
"Olive Apparel (Cambodia) Co., Ltd.",FINISHED GOODS,Apparel,Nike,,RAMATEX,National Road No 3 Phum Prey Kambot,Phnom Penh,Phnom Penh,120910,Cambodia,SE ASIA,1274,1107,89
PT. Kanindo Makmur Jaya,FINISHED GOODS,Equipment,Nike,Collegiate,KANAAN,Jalan Raya Jepara Kudus,Jepara,Jawa Tengah,59462,Indonesia,S ASIA,6680,6582,62
South Island Garment Sdn Bhd,FINISHED GOODS,Apparel,Nike,Collegiate,SOUTH ISLAND,2468 Solok Perusahaan Dua,Perai,Pulau Pinang,13600,Malaysia,S ASIA,621,344,53
"Toyama Sports Goods Co., Ltd.",FINISHED GOODS,Equipment,Nike,,TOYAMA SPORTS,345 Fukumitsu,Nanto,Toyama,,Japan,N ASIA,3,2,0
EVEREST TEXTILE CO LTD,MATERIALS,Apparel,Nike,,EVEREST TEXTILE,No 256 Minghe Village,Tainan City,Tainan,743002,Taiwan,N ASIA,1409,1032,51
Big Game Sports,FINISHED GOODS,Equipment,Nike,Collegiate,BIG GAME SPORTS,13835 Welch Rd,Dallas,Texas,75244,USA,AMERICAS,68,51,36
PT Semarang Garment,FINISHED GOODS,Apparel,Nike,Collegiate,ONTIDE,JL Soekarno Hatta Km 25,Semarang,Jawa Tengah,50552,Indonesia,S ASIA,3851,3462,94
Charmgo (Cambodia) Co. Ltd,FINISHED GOODS,Apparel,Nike,,CHARMGO,Pham Bostanei Kuhn Kaheing Srok Samrongtong Kampong Spey,Kampong Spey,Kampong Spueu,5207,Cambodia,SE ASIA,1557,1526,71
SAN FANG (TR1) (CHINA),MATERIALS,Footwear,Nike,,SAN FANG,YUE YUEN INDUSTRIAL PARK,"DONGGUAN, GUANGDONG",Guangdong,511700,China,N ASIA,307,225,20
Song Hong - Nghia Hung Garment Joint Stock Company,FINISHED GOODS,Apparel,Nike,,SONG HONG NGHIA HUNG COMPANY,Team 12 Nghia Phong Commune,Nam Dinh,Nam Ðnh,420000,Vietnam,SE ASIA,1802,1678,80
MAXPORT LIMITED VIET NAM NAM DINH BRANCH MAXPORT 05,FINISHED GOODS,Apparel,Nike,Collegiate,MAXPORT,Lot No85 Map No44,Nam Dinh,Nam Ðnh,42000,Vietnam,SE ASIA,1351,1163,83
"Fu-Luh Shoes Co., LTD",FINISHED GOODS,Footwear,Nike,,CHING LUH,Tri Yen Hamlet Tan Kim Commune Can Giuoc County,Long An,Long An,82500,Vietnam,SE ASIA,11427,10161,76
"TIONG LIONG-Tiong Liong Industrial Co., Ltd. (Lamination)",MATERIALS,Footwear,Nike,,TIONG LIONG GROUP,NO 8 Lane 758 SEC 3 ZHONGQING RD,Taichung City,Taichung,428,Taiwan,N ASIA,58,30,0
"CHANG SHIN VIETNAM CO., LTD",FINISHED GOODS,Footwear,Nike,,CHANGSHIN,Lot C Loc An Binh Son Industrial Zone,Long Thanh District,Ðng Nai,61,Vietnam,SE ASIA,5593,5029,89
"Future Garment Co., Ltd.",FINISHED GOODS,Apparel,Nike,,HI TECH,211 18 26,Bangkok,Bangkok,10120,Thailand,SE ASIA,430,360,66
ELITE SPORTSWEAR L.P.,FINISHED GOODS,Apparel,Nike,,ELITE SPORTSWEAR,2136 NORTH 13TH STREET,READING,Pennsylvania,19604,USA,AMERICAS,310,203,0
Qingyuan City Liannan Yao Nationality Autonomous County Rongfang Footwear,FINISHED GOODS,Footwear,Nike,Collegiate,SHOETOWN,"50 Yan Jiang East Road,San Jiang Town Lian Nan County",QING YUAN,Guangdong,513300,China,N ASIA,732,677,96
"Cheng Horng Industrial Co., Ltd.",MATERIALS,Apparel,Nike,,LITTLE KING,No 230 Hongzun Road,Taoyuan,Taoyuan,324,Taiwan,N ASIA,120,101,22
GreenTech Headgear Company Limited,FINISHED GOODS,Apparel,Nike,Collegiate,ASIAN SOURCING HEADWEAR,D02 Street Chau Duc Industrial Zone,Chau Duc,Bà Ra - Vung Tàu,78000,Vietnam,SE ASIA,2053,1908,58
Gianel Shoes srl,FINISHED GOODS,Footwear,Converse,,GIANEL,ZONA INDUSTRIALE,CASARANO,Lecce,73042,Italy,EMEA,157,152,92
"Apple Apparel (Cambodia) Co., Ltd.",FINISHED GOODS,Apparel,Nike,,RAMATEX,Phum Chumpou Voin,Phonm Penh,Phnom Penh,120911,Cambodia,SE ASIA,503,431,79
"Annora Vietnam  Footwear Co.,Ltd",FINISHED GOODS,Footwear,Nike,,HUALI,Nghi Son Economic Zone,Nghi Son Township,Thanh Hóa,450000,Vietnam,SE ASIA,20025,18012,90
